START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
5/23/2018,12:15 PM,1:15 PM,Royals at Cardinals,Busch Stadium - St. Louis,Local TV: FSKC,5/23/2018,5/23/2018,3:15 PM,4:15 PM,FALSE,TRUE,5/23/2018,11:15 AM,12:15 PM,FREE,BUSY
5/24/2018,7:05 PM,8:05 PM,Royals at Rangers,Globe Life Park in Arlington - Arlington,Local TV: FSKC,5/24/2018,5/24/2018,10:05 PM,11:05 PM,FALSE,TRUE,5/24/2018,6:05 PM,7:05 PM,FREE,BUSY
5/25/2018,7:05 PM,8:05 PM,Royals at Rangers,Globe Life Park in Arlington - Arlington,Local TV: FSKC,5/25/2018,5/25/2018,10:05 PM,11:05 PM,FALSE,TRUE,5/25/2018,6:05 PM,7:05 PM,FREE,BUSY
5/26/2018,3:05 PM,4:05 PM,Royals at Rangers,Globe Life Park in Arlington - Arlington,,5/26/2018,5/26/2018,6:05 PM,7:05 PM,FALSE,TRUE,5/26/2018,2:05 PM,3:05 PM,FREE,BUSY
5/27/2018,2:05 PM,3:05 PM,Royals at Rangers,Globe Life Park in Arlington - Arlington,Local TV: FSKC,5/27/2018,5/27/2018,5:05 PM,6:05 PM,FALSE,TRUE,5/27/2018,1:05 PM,2:05 PM,FREE,BUSY
5/28/2018,6:15 PM,7:15 PM,Twins at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,5/28/2018,5/28/2018,9:15 PM,10:15 PM,FALSE,TRUE,5/28/2018,5:15 PM,6:15 PM,FREE,BUSY
5/29/2018,7:15 PM,8:15 PM,Twins at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,5/29/2018,5/29/2018,10:15 PM,11:15 PM,FALSE,TRUE,5/29/2018,6:15 PM,7:15 PM,FREE,BUSY
5/30/2018,7:15 PM,8:15 PM,Twins at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,5/30/2018,5/30/2018,10:15 PM,11:15 PM,FALSE,TRUE,5/30/2018,6:15 PM,7:15 PM,FREE,BUSY
6/1/2018,7:15 PM,8:15 PM,Athletics at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,6/1/2018,6/1/2018,10:15 PM,11:15 PM,FALSE,TRUE,6/1/2018,6:15 PM,7:15 PM,FREE,BUSY
6/2/2018,1:15 PM,2:15 PM,Athletics at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC ----- Local Radio: KYYS-1250 AM,6/2/2018,6/2/2018,4:15 PM,5:15 PM,FALSE,TRUE,6/2/2018,12:15 PM,1:15 PM,FREE,BUSY
